,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua-Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Born on ship,Bosnia-Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean,Cayman Islands,Central African Republic,Central America,Chad,Chile,"China, People's Republic",Christmas Island,Cocos Islands,Colombia,Comoros,"Congo, Democratic Republic","Congo, Republic",Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Czechoslovakia (former),Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Europe,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern and Antarctic Lands,Gabon,Gambia,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,"Korea, North","Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,"Micronesia, Federated States",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,Northern Mariana Islands,Norway,Oceania,Oman,Other,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Island,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Russia ,Rwanda,Saint Kitts-Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Sudan,Soviet Union,Soviet Union (former),Spain,Sri Lanka,St. Helena,St. Kitts-Nevis,St. Lucia,St. Pierre and Miquelon,St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Total,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Unknown,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1991,1394.0,10468.0,72.0,116.0,47.0,,33.0,32.0,485.0,1869.0,0.0,35.0,168296.0,108.0,98.0,0.0,,162.0,12.0,900.0,856.0,0.0,174.0,504.0,6.0,34.0,,530.0,0.0,0.0,0.0,696.0,56.0,12.0,227.0,,876.0,,4851.0,53.0,4514.0,184.0,34761.0,20.0,4.0,11446.0,3.0,942.0,16947.0,0.0,0.0,5619.0,,46.0,,3.0,795.0,28.0,0.0,9661.0,166.0,0.0,863.0,,177.0,7.0,555.0,6396.0,2231.0,2689.0,3691.0,6.0,0.0,32.0,1476.0,32986.0,0.0,524.0,89.0,1184.0,5.0,222.0,0.0,3.0,,20.0,0.0,2296.0,680.0,0.0,1850.0,,459.0,11.0,0.0,1847.0,7.0,,4863.0,4455.0,1328.0,4648.0,836.0,26.0,13286.0,615.0,10595.0,1684.0,749.0,2781.0,1998.0,6949.0,951.0,2523.0,0.0,297.0,,12538.0,,,,319.0,0.0,3887.0,51.0,3631.0,3.0,356.0,139.0,0.0,65.0,9.0,148.0,0.0,11.0,12.0,488.0,,,82.0,0.0,14.0,,14.0,22878.0,0.0,0.0,,,,67.0,375.0,26.0,3.0,,43.0,421.0,69.0,3.0,192.0,1750.0,0.0,1804.0,0.0,73630.0,0.0,142.0,1374.0,,0.0,3719.0,25.0,1531.0,3.0,131.0,3141.0,34450.0,,5568.0,1754.0,,7.0,0.0,3535.0,,0.0,6.0,,,,150.0,0.0,0.0,95.0,33.0,,1675.0,28.0,198.0,200.0,0.0,,0.0,,107.0,906.0,21212.0,,2889.0,,459.0,484.0,3.0,728.0,284.0,,329.0,81.0,35.0,8.0,215.0,367.0,1546.0,11010.0,0.0,230.0,1376.0,14.0,90.0,308058.0,3084.0,78.0,1416.0,0.0,,0.0,10.0,151.0,0.0,,5080.0,29.0,,400.0,0.0,,750.0,30078.0,0.0,0.0,612.0,115.0,97.0
1992,1052.0,9731.0,92.0,103.0,47.0,,39.0,24.0,375.0,1242.0,12.0,26.0,125376.0,126.0,92.0,0.0,,165.0,12.0,974.0,671.0,0.0,142.0,305.0,12.0,18.0,0.0,417.0,0.0,0.0,,661.0,57.0,14.0,166.0,,485.0,,2713.0,74.0,4025.0,222.0,32478.0,17.0,,7495.0,0.0,716.0,13616.0,,0.0,6451.0,0.0,53.0,,,547.0,37.0,0.0,7750.0,171.0,0.0,677.0,,120.0,5.0,288.0,8494.0,1855.0,2115.0,2061.0,,0.0,11.0,1506.0,27143.0,,399.0,90.0,981.0,,109.0,,0.0,,11.0,0.0,1938.0,710.0,4.0,1751.0,,420.0,10.0,0.0,1080.0,8.0,,4726.0,3988.0,1249.0,3203.0,616.0,36.0,13452.0,318.0,6787.0,1203.0,731.0,2250.0,1608.0,6710.0,634.0,2263.0,0.0,258.0,0.0,8330.0,,,,313.0,0.0,3080.0,50.0,2888.0,3.0,361.0,145.0,3.0,46.0,5.0,69.0,0.0,15.0,16.0,394.0,,6.0,57.0,0.0,11.0,,14.0,12873.0,,0.0,,,,41.0,422.0,26.0,4.0,,44.0,320.0,28.0,,104.0,1103.0,0.0,1847.0,,56905.0,0.0,110.0,1015.0,,0.0,3359.0,22.0,1150.0,,129.0,2645.0,28587.0,,4699.0,1802.0,,21.0,0.0,2489.0,,375.0,6.0,,,,102.0,,0.0,105.0,42.0,,1453.0,20.0,192.0,153.0,0.0,,0.0,6.0,120.0,657.0,19969.0,,1338.0,,461.0,332.0,,331.0,195.0,,249.0,94.0,46.0,4.0,184.0,304.0,1222.0,6275.0,0.0,198.0,946.0,12.0,87.0,240252.0,2588.0,66.0,1148.0,0.0,,0.0,11.0,131.0,9.0,8.0,4366.0,31.0,,368.0,0.0,,710.0,18422.0,0.0,0.0,528.0,67.0,96.0
1993,1548.0,11539.0,88.0,126.0,71.0,0.0,59.0,64.0,438.0,1602.0,136.0,31.0,149432.0,209.0,194.0,0.0,,141.0,10.0,961.0,858.0,,191.0,384.0,28.0,43.0,0.0,575.0,0.0,,,906.0,86.0,14.0,168.0,100.0,558.0,7.0,3102.0,106.0,6505.0,215.0,47372.0,37.0,,10393.0,3.0,867.0,16943.0,0.0,,9985.0,0.0,75.0,5.0,,668.0,47.0,3.0,15064.0,187.0,0.0,643.0,,155.0,8.0,273.0,12303.0,2701.0,2065.0,3038.0,,0.0,16.0,1866.0,37774.0,0.0,545.0,103.0,1140.0,,24.0,6.0,0.0,,17.0,,2591.0,735.0,5.0,2106.0,,565.0,20.0,,1685.0,4.0,,4964.0,5190.0,1714.0,3807.0,649.0,31.0,16527.0,434.0,7033.0,1545.0,1067.0,2448.0,3502.0,7911.0,1002.0,2597.0,,342.0,,9681.0,,,,360.0,,3994.0,66.0,3392.0,3.0,453.0,155.0,,82.0,7.0,108.0,0.0,3.0,24.0,423.0,0.0,6.0,78.0,0.0,5.0,3.0,16.0,23615.0,3.0,5.0,,,,61.0,519.0,25.0,10.0,3.0,46.0,399.0,41.0,,173.0,1501.0,0.0,2289.0,0.0,87931.0,0.0,129.0,1276.0,,0.0,3776.0,17.0,1403.0,,173.0,3285.0,33925.0,3.0,5592.0,3880.0,4.0,21.0,0.0,2750.0,,440.0,4.0,,,,129.0,0.0,,149.0,67.0,,2197.0,19.0,297.0,162.0,0.0,,,,130.0,833.0,26464.0,,2168.0,,618.0,457.0,,390.0,241.0,8.0,334.0,116.0,,4.0,230.0,399.0,1350.0,7235.0,,211.0,1129.0,17.0,86.0,314681.0,3249.0,106.0,1271.0,0.0,3.0,3.0,20.0,157.0,141.0,14.0,5791.0,37.0,,581.0,0.0,0.0,798.0,22520.0,0.0,0.0,698.0,124.0,126.0
1994,1995.0,16073.0,109.0,183.0,103.0,0.0,98.0,88.0,627.0,2481.0,641.0,80.0,193842.0,282.0,281.0,3.0,,238.0,16.0,1190.0,1432.0,3.0,254.0,635.0,28.0,54.0,,803.0,0.0,18.0,4.0,1322.0,122.0,12.0,247.0,290.0,875.0,6.0,4132.0,175.0,8684.0,500.0,58569.0,47.0,,16842.0,,1206.0,22331.0,,0.0,12309.0,0.0,100.0,7.0,5.0,1055.0,78.0,52.0,16380.0,196.0,,712.0,,243.0,5.0,405.0,11390.0,3965.0,2620.0,5643.0,4.0,54.0,58.0,2375.0,56449.0,0.0,711.0,138.0,1630.0,,26.0,0.0,4.0,,26.0,4.0,3763.0,1145.0,4.0,2577.0,5.0,829.0,29.0,0.0,3001.0,6.0,5.0,6081.0,7989.0,2215.0,6534.0,855.0,37.0,20940.0,580.0,10041.0,1808.0,1677.0,3039.0,5702.0,12252.0,1440.0,2797.0,36.0,419.0,3.0,12367.0,,,,449.0,0.0,5630.0,138.0,4592.0,3.0,609.0,170.0,0.0,117.0,10.0,190.0,0.0,12.0,40.0,522.0,,11.0,102.0,4.0,14.0,,29.0,46169.0,3.0,42.0,,,,118.0,731.0,59.0,7.0,,70.0,613.0,36.0,,238.0,2437.0,3.0,3464.0,0.0,130345.0,3.0,171.0,1763.0,,0.0,4529.0,11.0,1856.0,3.0,259.0,4754.0,40777.0,,7062.0,5882.0,4.0,19.0,0.0,3503.0,,1242.0,4.0,,,,188.0,,,158.0,72.0,,2956.0,17.0,398.0,204.0,,,5.0,4.0,154.0,1192.0,35014.0,,4865.0,,817.0,537.0,0.0,612.0,393.0,5.0,540.0,133.0,,3.0,316.0,557.0,1820.0,10387.0,0.0,254.0,1634.0,22.0,171.0,434107.0,4874.0,101.0,1663.0,,8.0,,8.0,206.0,583.0,26.0,8410.0,71.0,,667.0,6.0,0.0,1078.0,29555.0,0.0,,779.0,122.0,117.0
1995,2031.0,18495.0,103.0,188.0,122.0,0.0,68.0,57.0,668.0,2714.0,1215.0,42.0,190205.0,250.0,291.0,27.0,,223.0,22.0,1323.0,1304.0,89.0,233.0,874.0,37.0,80.0,,1186.0,0.0,29.0,,1254.0,62.0,8.0,256.0,168.0,872.0,5.0,3619.0,175.0,7597.0,529.0,56480.0,55.0,6.0,29467.0,,1315.0,21564.0,,0.0,12823.0,0.0,91.0,5.0,5.0,1138.0,76.0,168.0,17511.0,176.0,5.0,692.0,,230.0,8.0,434.0,9999.0,5381.0,2671.0,13702.0,5.0,343.0,72.0,2626.0,63602.0,,704.0,138.0,1413.0,,23.0,0.0,3.0,,53.0,25.0,3658.0,1578.0,4.0,2135.0,,736.0,137.0,4.0,5093.0,5.0,154.0,5499.0,7884.0,2954.0,5690.0,868.0,37.0,18558.0,624.0,11761.0,1609.0,1959.0,2645.0,4065.0,11156.0,1462.0,2385.0,21.0,429.0,3.0,15709.0,,,,465.0,,4315.0,186.0,4171.0,5.0,745.0,205.0,3.0,241.0,8.0,127.0,89.0,13.0,35.0,443.0,,16.0,53.0,4.0,7.0,8.0,13.0,81655.0,5.0,135.0,5.0,,,91.0,689.0,37.0,6.0,3.0,60.0,657.0,29.0,,245.0,3950.0,6.0,4645.0,0.0,175216.0,,160.0,1817.0,7.0,0.0,4912.0,,1756.0,8.0,230.0,5921.0,37870.0,,8092.0,3809.0,5.0,14.0,0.0,3408.0,,3367.0,11.0,,,,206.0,,0.0,126.0,87.0,,2479.0,18.0,578.0,172.0,16.0,,20.0,4.0,211.0,884.0,38072.0,,10338.0,,837.0,522.0,,575.0,418.0,0.0,492.0,165.0,,7.0,260.0,453.0,1825.0,9565.0,8.0,223.0,1707.0,20.0,220.0,488088.0,4487.0,109.0,1591.0,,19.0,,9.0,277.0,2715.0,17.0,8479.0,16.0,,679.0,46.0,0.0,1009.0,31728.0,0.0,,504.0,120.0,132.0
1996,4141.0,26970.0,348.0,275.0,148.0,,122.0,41.0,1415.0,5457.0,2957.0,107.0,307451.0,438.0,382.0,160.0,,671.0,27.0,5407.0,2488.0,393.0,343.0,1831.0,14.0,75.0,0.0,2367.0,,44.0,8.0,2961.0,43.0,,627.0,8.0,1335.0,7.0,5202.0,264.0,11663.0,634.0,163709.0,36.0,4.0,76361.0,3.0,3068.0,34320.0,,0.0,27483.0,,187.0,5.0,30.0,2759.0,164.0,470.0,63234.0,250.0,4.0,733.0,,341.0,5.0,1040.0,29459.0,14547.0,3877.0,35478.0,10.0,518.0,91.0,3397.0,109607.0,0.0,1392.0,186.0,2340.0,0.0,113.0,0.0,7.0,,98.0,70.0,4664.0,2905.0,5.0,3162.0,4.0,1681.0,383.0,,13933.0,9.0,3.0,11223.0,25012.0,7881.0,8660.0,1159.0,43.0,33113.0,1106.0,19278.0,2309.0,3284.0,3537.0,5117.0,25458.0,2188.0,3236.0,32.0,695.0,4.0,27969.0,,,,705.0,,10621.0,336.0,5441.0,5.0,1104.0,211.0,,271.0,21.0,225.0,298.0,27.0,40.0,690.0,0.0,30.0,123.0,6.0,23.0,9.0,37.0,254988.0,6.0,390.0,3.0,0.0,,181.0,1174.0,53.0,8.0,0.0,119.0,976.0,61.0,4.0,342.0,11135.0,489.0,6248.0,8.0,506767.0,,265.0,3312.0,,0.0,11251.0,,3344.0,13.0,491.0,12884.0,51346.0,0.0,14047.0,6525.0,6.0,34.0,0.0,5242.0,,8245.0,10.0,,,,319.0,0.0,,193.0,260.0,,3276.0,12.0,782.0,292.0,20.0,,19.0,,306.0,1217.0,84520.0,,20137.0,,2079.0,917.0,,983.0,824.0,0.0,1112.0,308.0,134.0,3.0,404.0,605.0,2510.0,12114.0,7.0,447.0,3912.0,32.0,453.0,1044689.0,9288.0,164.0,2181.0,6.0,70.0,0.0,18.0,409.0,6959.0,26.0,12185.0,42.0,,1372.0,208.0,,2533.0,51910.0,27.0,0.0,876.0,183.0,178.0
1997,1839.0,15996.0,419.0,173.0,38.0,0.0,91.0,64.0,886.0,2247.0,3037.0,66.0,193591.0,261.0,181.0,263.0,,337.0,10.0,3577.0,1960.0,727.0,179.0,1353.0,24.0,39.0,,1093.0,0.0,50.0,5.0,2360.0,102.0,5.0,356.0,4.0,578.0,3.0,5180.0,164.0,6639.0,573.0,84834.0,288.0,,39885.0,3.0,1427.0,20947.0,,0.0,11645.0,,81.0,3.0,9.0,1574.0,107.0,212.0,13155.0,113.0,10.0,434.0,,165.0,5.0,621.0,21092.0,7463.0,2238.0,18273.0,,393.0,52.0,1994.0,67783.0,,711.0,94.0,1261.0,,47.0,0.0,3.0,,50.0,101.0,2946.0,1588.0,,1885.0,4.0,1223.0,21.0,,7914.0,24.0,74.0,7544.0,16477.0,4318.0,4752.0,568.0,38.0,21206.0,575.0,11434.0,1621.0,1835.0,2034.0,2445.0,20253.0,1283.0,1820.0,46.0,496.0,4.0,16056.0,,,,404.0,,8630.0,202.0,3041.0,4.0,719.0,130.0,0.0,180.0,9.0,117.0,204.0,16.0,22.0,428.0,,29.0,51.0,5.0,14.0,3.0,29.0,142569.0,,621.0,,0.0,,141.0,555.0,40.0,9.0,,78.0,475.0,62.0,,222.0,4409.0,218.0,3537.0,,273954.0,0.0,112.0,1812.0,5.0,44.0,7266.0,10.0,2044.0,,248.0,6352.0,30898.0,0.0,8037.0,4278.0,5.0,16.0,0.0,3043.0,,8200.0,5.0,,,,155.0,,,147.0,223.0,,1297.0,16.0,492.0,171.0,26.0,,13.0,,171.0,661.0,42282.0,,9286.0,,756.0,547.0,,714.0,638.0,,827.0,218.0,,0.0,218.0,329.0,1638.0,6455.0,15.0,220.0,2287.0,20.0,336.0,598225.0,5803.0,87.0,1575.0,5.0,41.0,,5.0,264.0,5971.0,45.0,6900.0,22.0,,622.0,243.0,,1205.0,36178.0,0.0,,631.0,105.0,99.0
1998,1736.0,12467.0,351.0,143.0,63.0,,73.0,86.0,932.0,1651.0,2530.0,38.0,153951.0,203.0,153.0,350.0,,265.0,19.0,1211.0,1173.0,833.0,166.0,988.0,24.0,54.0,,845.0,0.0,33.0,0.0,1947.0,136.0,9.0,263.0,3.0,443.0,,5348.0,149.0,5545.0,542.0,62678.0,152.0,,27505.0,4.0,1002.0,16145.0,0.0,0.0,7024.0,0.0,68.0,11.0,3.0,1103.0,84.0,184.0,15331.0,129.0,,315.0,,165.0,5.0,677.0,11916.0,4674.0,1498.0,12267.0,,443.0,52.0,1844.0,58836.0,0.0,493.0,110.0,1125.0,0.0,103.0,0.0,,,40.0,76.0,2517.0,1073.0,,1553.0,0.0,663.0,19.0,0.0,5534.0,31.0,206.0,4575.0,10416.0,2752.0,2927.0,531.0,32.0,17060.0,609.0,10739.0,2033.0,1444.0,1444.0,2522.0,15040.0,1847.0,1510.0,58.0,399.0,,10305.0,,,,308.0,18.0,7734.0,194.0,2391.0,5.0,557.0,95.0,,155.0,4.0,87.0,137.0,12.0,35.0,370.0,0.0,19.0,39.0,,11.0,,23.0,112442.0,7.0,574.0,,,,124.0,415.0,30.0,5.0,0.0,82.0,397.0,51.0,,196.0,3359.0,321.0,1963.0,0.0,208192.0,0.0,92.0,1613.0,,28.0,3572.0,17.0,1502.0,0.0,112.0,4353.0,24872.0,0.0,5911.0,4663.0,4.0,12.0,0.0,2244.0,,5981.0,4.0,,,,219.0,,,80.0,107.0,,1004.0,7.0,420.0,143.0,35.0,,17.0,3.0,306.0,676.0,27550.0,,6987.0,,905.0,460.0,,771.0,531.0,,475.0,140.0,45.0,5.0,203.0,301.0,1466.0,4862.0,35.0,189.0,1986.0,18.0,299.0,463060.0,3784.0,90.0,1547.0,5.0,19.0,3.0,10.0,206.0,6952.0,13.0,6375.0,20.0,,397.0,236.0,0.0,925.0,30185.0,0.0,0.0,259.0,90.0,79.0
1999,2752.0,20401.0,599.0,277.0,75.0,3.0,99.0,165.0,1103.0,3366.0,3190.0,86.0,273924.0,342.0,232.0,878.0,,796.0,32.0,2280.0,2558.0,1869.0,294.0,2079.0,35.0,84.0,,1461.0,0.0,300.0,4.0,4114.0,205.0,13.0,498.0,8.0,889.0,6.0,7140.0,181.0,9353.0,849.0,115245.0,137.0,4.0,53227.0,6.0,1892.0,38409.0,,0.0,13168.0,3.0,127.0,42.0,8.0,2087.0,121.0,358.0,25467.0,190.0,27.0,548.0,,239.0,9.0,977.0,23089.0,8411.0,2687.0,22991.0,5.0,567.0,82.0,2611.0,101318.0,0.0,775.0,159.0,1903.0,,142.0,,5.0,,69.0,147.0,4169.0,1548.0,5.0,2355.0,,1532.0,61.0,,11031.0,42.0,168.0,10366.0,19550.0,5294.0,6624.0,884.0,50.0,30710.0,1464.0,18268.0,3230.0,3414.0,2917.0,4393.0,28604.0,3178.0,2467.0,226.0,699.0,3.0,17738.0,,,,597.0,32.0,9188.0,383.0,4226.0,,848.0,153.0,0.0,313.0,15.0,197.0,212.0,16.0,37.0,885.0,,32.0,93.0,,22.0,12.0,41.0,207750.0,,1155.0,8.0,7.0,,190.0,854.0,59.0,10.0,3.0,143.0,700.0,89.0,4.0,317.0,6651.0,608.0,3125.0,,385605.0,,161.0,2385.0,,67.0,6572.0,19.0,3094.0,3.0,193.0,8308.0,38944.0,0.0,13127.0,5843.0,,27.0,0.0,3275.0,,10351.0,9.0,,,,257.0,7.0,3.0,152.0,188.0,,1761.0,13.0,487.0,294.0,81.0,,36.0,,816.0,1418.0,54363.0,,11300.0,,1241.0,883.0,,995.0,708.0,,999.0,281.0,,5.0,354.0,506.0,2344.0,11215.0,167.0,354.0,4046.0,35.0,423.0,839944.0,7732.0,129.0,2025.0,27.0,83.0,,,348.0,12190.0,44.0,10016.0,28.0,,689.0,1142.0,,2263.0,53316.0,0.0,,512.0,168.0,174.0
2000,2843.0,25850.0,826.0,427.0,80.0,,113.0,67.0,946.0,3432.0,2569.0,85.0,331136.0,436.0,290.0,1318.0,,591.0,41.0,3323.0,1891.0,3063.0,363.0,1802.0,23.0,90.0,,1375.0,0.0,1745.0,8.0,4524.0,134.0,15.0,847.0,16.0,1131.0,13.0,5292.0,286.0,11365.0,736.0,93291.0,23.0,4.0,52788.0,9.0,1888.0,54534.0,0.0,0.0,14018.0,0.0,138.0,58.0,3.0,1895.0,184.0,501.0,15661.0,205.0,58.0,658.0,,286.0,10.0,717.0,25176.0,9487.0,3492.0,24073.0,3.0,824.0,108.0,2774.0,121273.0,,924.0,201.0,2285.0,,128.0,0.0,8.0,,81.0,407.0,4522.0,2035.0,,2270.0,0.0,1172.0,32.0,,11488.0,71.0,20.0,10820.0,14428.0,5188.0,8101.0,1074.0,52.0,42198.0,2487.0,19251.0,5217.0,5454.0,3581.0,4436.0,22567.0,3757.0,3252.0,437.0,933.0,3.0,23858.0,,,,905.0,87.0,7163.0,484.0,4939.0,5.0,1027.0,181.0,0.0,355.0,11.0,255.0,310.0,30.0,50.0,1374.0,,48.0,116.0,,23.0,13.0,60.0,189705.0,3.0,1573.0,0.0,15.0,,130.0,1198.0,68.0,13.0,5.0,204.0,813.0,79.0,3.0,421.0,5426.0,556.0,4135.0,,347193.0,0.0,192.0,2685.0,7.0,42.0,8726.0,17.0,2916.0,8.0,214.0,8958.0,46563.0,0.0,16405.0,4756.0,4.0,35.0,,3586.0,,12919.0,31.0,,,,282.0,6.0,,310.0,218.0,,2196.0,27.0,600.0,405.0,200.0,,43.0,,1247.0,1967.0,58009.0,,9195.0,,1073.0,1001.0,,713.0,610.0,0.0,832.0,515.0,163.0,11.0,373.0,655.0,2802.0,13200.0,406.0,420.0,5225.0,58.0,366.0,888788.0,7265.0,168.0,2072.0,73.0,43.0,0.0,12.0,430.0,16849.0,79.0,11739.0,44.0,,693.0,3084.0,,2426.0,55934.0,0.0,,832.0,228.0,274.0
2001,1947.0,24312.0,1032.0,469.0,97.0,,86.0,38.0,478.0,2211.0,1972.0,41.0,247185.0,392.0,271.0,946.0,,394.0,47.0,4419.0,914.0,2008.0,299.0,1015.0,19.0,58.0,,908.0,,2759.0,7.0,3935.0,48.0,8.0,1170.0,10.0,1079.0,15.0,3489.0,299.0,7551.0,581.0,59602.0,15.0,,30513.0,12.0,1205.0,34423.0,0.0,,10872.0,,115.0,90.0,4.0,1146.0,171.0,519.0,11393.0,185.0,47.0,492.0,,227.0,9.0,372.0,15010.0,6571.0,3786.0,13663.0,0.0,756.0,105.0,2765.0,89431.0,0.0,1180.0,115.0,1745.0,,0.0,0.0,5.0,,71.0,415.0,3212.0,1832.0,,1676.0,,610.0,14.0,41.0,6281.0,67.0,6.0,7052.0,10408.0,3257.0,5274.0,877.0,44.0,34311.0,1247.0,13881.0,3451.0,4441.0,2974.0,2987.0,13978.0,2369.0,2883.0,429.0,734.0,3.0,18053.0,,,,766.0,81.0,6507.0,360.0,3556.0,3.0,782.0,171.0,,405.0,9.0,200.0,394.0,25.0,39.0,1034.0,,51.0,63.0,3.0,21.0,19.0,38.0,103234.0,4.0,959.0,,9.0,,86.0,1248.0,29.0,15.0,,205.0,549.0,34.0,4.0,347.0,3564.0,183.0,4355.0,0.0,200939.0,3.0,126.0,2594.0,8.0,23.0,8375.0,7.0,1587.0,7.0,166.0,6675.0,35431.0,0.0,11661.0,2780.0,,37.0,0.0,3521.0,,9413.0,62.0,,,,195.0,,,247.0,251.0,,2082.0,18.0,518.0,306.0,243.0,,42.0,,1168.0,1472.0,42288.0,,4576.0,,724.0,836.0,,331.0,392.0,0.0,440.0,741.0,,3.0,321.0,517.0,2158.0,9076.0,369.0,334.0,4104.0,57.0,301.0,608205.0,4484.0,157.0,1795.0,60.0,40.0,,,297.0,11828.0,84.0,8059.0,38.0,,472.0,2493.0,,2107.0,41596.0,0.0,0.0,810.0,158.0,207.0
