,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Total,604280,795.0,951.0,6785.0,990.0,170489.0,5681.0,8169.0,945.0,939.0,42999.0,7903.0,4663.0,1097.0,27739.0,2650.0,234.0,1814.0,1820.0,1700.0,772.0,11503.0,22685.0,11418.0,7383.0,520.0,2733.0,209.0,1365.0,5901.0,971.0,33160.0,1401.0,84624.0,5862.0,203.0,9415.0,1799.0,4777.0,13307.0,2604.0,916.0,354.0,3578.0,38553.0,2874.0,488.0,17653.0,14817.0,362.0,4040.0,134.0,2803.0,6733
Africa,38830,61.0,19.0,333.0,34.0,4456.0,608.0,473.0,95.0,237.0,1216.0,1173.0,50.0,21.0,1279.0,220.0,10.0,131.0,129.0,114.0,130.0,2319.0,2483.0,687.0,2532.0,34.0,286.0,7.0,128.0,242.0,61.0,2359.0,42.0,3893.0,732.0,24.0,1906.0,131.0,212.0,1250.0,465.0,88.0,80.0,583.0,2941.0,108.0,17.0,2569.0,1102.0,,242.0,,23.0,465
Asia,237724,405.0,503.0,1648.0,411.0,87978.0,1767.0,2180.0,421.0,192.0,5645.0,3141.0,3838.0,208.0,10044.0,970.0,101.0,875.0,627.0,790.0,254.0,4582.0,7278.0,5828.0,2931.0,268.0,1081.0,50.0,511.0,2295.0,297.0,11623.0,369.0,24957.0,2343.0,57.0,3757.0,879.0,2065.0,5867.0,455.0,373.0,73.0,1650.0,14576.0,871.0,113.0,8422.0,7359.0,180.0,1810.0,36.0,741.0,2029
Europe,97482,132.0,163.0,1369.0,117.0,15318.0,1400.0,2377.0,114.0,146.0,4995.0,1265.0,199.0,450.0,9391.0,596.0,11.0,191.0,583.0,172.0,209.0,1403.0,5323.0,3470.0,1076.0,64.0,877.0,50.0,172.0,722.0,303.0,5598.0,179.0,16928.0,905.0,64.0,2599.0,178.0,1333.0,3479.0,490.0,171.0,151.0,602.0,2912.0,674.0,251.0,2080.0,3709.0,63.0,979.0,25.0,111.0,1343
North America,180572,154.0,190.0,3188.0,375.0,55496.0,1584.0,1987.0,263.0,270.0,23251.0,1744.0,261.0,361.0,6049.0,732.0,109.0,520.0,367.0,522.0,147.0,2275.0,5921.0,1186.0,578.0,120.0,395.0,81.0,504.0,2349.0,225.0,7708.0,747.0,26953.0,1406.0,48.0,744.0,479.0,949.0,2002.0,937.0,182.0,42.0,553.0,16147.0,769.0,88.0,2624.0,2059.0,59.0,851.0,58.0,1665.0,2298
Oceania,3898,4.0,32.0,36.0,9.0,1921.0,58.0,29.0,,6.0,87.0,26.0,203.0,16.0,44.0,12.0,0.0,11.0,6.0,5.0,6.0,42.0,60.0,30.0,27.0,,13.0,7.0,6.0,43.0,7.0,36.0,14.0,128.0,30.0,4.0,33.0,9.0,89.0,34.0,13.0,4.0,,14.0,239.0,104.0,7.0,79.0,244.0,,14.0,6.0,5.0,40
South America,44504,39.0,42.0,205.0,39.0,5116.0,234.0,1122.0,,88.0,7746.0,541.0,107.0,34.0,782.0,106.0,3.0,70.0,101.0,87.0,26.0,874.0,1604.0,178.0,222.0,,73.0,12.0,38.0,239.0,77.0,5810.0,48.0,11694.0,432.0,6.0,296.0,113.0,116.0,669.0,243.0,95.0,,169.0,1609.0,330.0,12.0,1837.0,306.0,31.0,119.0,6.0,251.0,420
Afghanistan,1464,,0.0,11.0,0.0,658.0,27.0,8.0,4.0,0.0,11.0,19.0,,,23.0,7.0,0.0,4.0,,0.0,3.0,22.0,10.0,8.0,13.0,0.0,20.0,0.0,6.0,11.0,,54.0,8.0,173.0,10.0,,6.0,,6.0,11.0,,0.0,,4.0,32.0,12.0,0.0,237.0,21.0,3.0,,0.0,0.0,9
Albania,3830,0.0,5.0,10.0,0.0,51.0,17.0,235.0,,,253.0,10.0,,5.0,260.0,13.0,0.0,0.0,4.0,0.0,,29.0,703.0,573.0,8.0,,38.0,0.0,,16.0,11.0,181.0,6.0,622.0,12.0,0.0,162.0,5.0,8.0,327.0,,7.0,0.0,9.0,71.0,5.0,,61.0,15.0,0.0,49.0,0.0,0.0,37
Algeria,722,,0.0,0.0,0.0,108.0,12.0,8.0,,7.0,17.0,8.0,,,60.0,4.0,0.0,0.0,0.0,7.0,0.0,11.0,87.0,19.0,6.0,,3.0,0.0,0.0,,3.0,39.0,,124.0,12.0,0.0,20.0,,,31.0,,0.0,,,37.0,,,51.0,8.0,0.0,15.0,0.0,,3
American Samoa,294,0.0,12.0,0.0,,40.0,,0.0,0.0,0.0,,,58.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,3.0,,0.0,0.0,0.0,0.0,128.0,11.0,0.0,,21.0,0.0,0.0,0.0,,2
Angola,86,0.0,0.0,0.0,0.0,9.0,,,0.0,0.0,6.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,27.0,,,0.0,0.0,0.0,0.0,,,11.0,0.0,6.0,,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
Antigua-Barbuda,371,,,,0.0,6.0,,9.0,0.0,,46.0,10.0,0.0,0.0,3.0,0.0,0.0,,3.0,0.0,,10.0,11.0,0.0,0.0,,,0.0,0.0,0.0,0.0,26.0,0.0,162.0,0.0,,,0.0,0.0,9.0,,0.0,0.0,,9.0,0.0,0.0,3.0,,0.0,0.0,0.0,41.0,2
Argentina,1976,0.0,4.0,18.0,,510.0,26.0,47.0,4.0,11.0,359.0,11.0,7.0,4.0,40.0,5.0,0.0,5.0,5.0,6.0,5.0,22.0,55.0,8.0,6.0,0.0,,,,24.0,5.0,134.0,4.0,269.0,14.0,0.0,21.0,,8.0,40.0,3.0,5.0,,14.0,94.0,33.0,,61.0,18.0,5.0,6.0,0.0,26.0,24
Armenia,1737,0.0,0.0,8.0,0.0,1473.0,8.0,8.0,0.0,,11.0,,,,7.0,,0.0,0.0,0.0,0.0,0.0,6.0,35.0,3.0,0.0,0.0,,0.0,0.0,22.0,0.0,13.0,0.0,60.0,,,5.0,,3.0,8.0,16.0,0.0,0.0,,8.0,8.0,,,8.0,0.0,,0.0,0.0,8
Australia,1155,4.0,,20.0,3.0,363.0,35.0,23.0,,4.0,51.0,13.0,17.0,8.0,34.0,5.0,0.0,4.0,3.0,,5.0,27.0,46.0,17.0,15.0,,3.0,6.0,3.0,23.0,6.0,27.0,7.0,90.0,13.0,0.0,22.0,3.0,16.0,20.0,,,,11.0,59.0,16.0,3.0,51.0,44.0,,13.0,5.0,,5
Austria,307,0.0,,3.0,0.0,70.0,7.0,9.0,,,20.0,4.0,,,9.0,4.0,0.0,0.0,,,,6.0,9.0,12.0,,0.0,3.0,,0.0,,,16.0,,49.0,4.0,0.0,10.0,0.0,,8.0,,,0.0,,9.0,3.0,,13.0,8.0,0.0,,0.0,,2
Azerbaijan,904,0.0,,4.0,0.0,185.0,7.0,6.0,0.0,,26.0,,,4.0,17.0,6.0,0.0,,6.0,,,17.0,49.0,20.0,5.0,0.0,8.0,0.0,,5.0,,21.0,,323.0,4.0,4.0,16.0,,4.0,35.0,4.0,0.0,4.0,,16.0,6.0,,9.0,62.0,0.0,,0.0,0.0,10
Bahamas,343,,,,0.0,15.0,,0.0,0.0,,176.0,12.0,,0.0,3.0,,0.0,,,0.0,0.0,11.0,4.0,4.0,3.0,0.0,,0.0,,,,10.0,0.0,34.0,3.0,0.0,,,0.0,4.0,,,0.0,5.0,11.0,,0.0,15.0,,,,0.0,,7
Bahrain,57,0.0,0.0,,0.0,10.0,,0.0,0.0,0.0,3.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,0.0,0.0,0.0,,,0.0,3.0,,7.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0
Bangladesh,5503,10.0,,18.0,5.0,385.0,13.0,95.0,15.0,10.0,166.0,129.0,,,77.0,7.0,0.0,13.0,7.0,12.0,3.0,119.0,87.0,349.0,26.0,,22.0,0.0,4.0,14.0,,269.0,0.0,2642.0,37.0,0.0,59.0,30.0,8.0,162.0,6.0,3.0,0.0,15.0,313.0,3.0,0.0,305.0,17.0,,11.0,0.0,3.0,26
Barbados,778,,0.0,6.0,0.0,18.0,,22.0,,0.0,46.0,17.0,,0.0,3.0,,0.0,0.0,,0.0,0.0,19.0,91.0,5.0,,0.0,,0.0,0.0,,0.0,46.0,0.0,409.0,4.0,0.0,3.0,0.0,0.0,24.0,,,0.0,0.0,18.0,0.0,0.0,14.0,,0.0,,0.0,4.0,10
Belarus,1549,,,9.0,,235.0,42.0,24.0,,,28.0,5.0,,5.0,77.0,5.0,0.0,0.0,7.0,0.0,,31.0,66.0,13.0,52.0,,11.0,0.0,5.0,3.0,,77.0,0.0,517.0,12.0,0.0,52.0,3.0,29.0,70.0,,3.0,,,20.0,3.0,,21.0,67.0,,29.0,0.0,0.0,8
Belgium,247,0.0,0.0,4.0,0.0,49.0,,5.0,0.0,,23.0,3.0,,0.0,8.0,,0.0,,,3.0,0.0,8.0,11.0,7.0,4.0,,,,0.0,6.0,0.0,13.0,,43.0,6.0,,4.0,0.0,,4.0,,,0.0,,6.0,0.0,0.0,10.0,3.0,0.0,3.0,0.0,0.0,2
Belize,704,3.0,0.0,10.0,0.0,301.0,3.0,,0.0,0.0,36.0,9.0,4.0,0.0,77.0,,0.0,0.0,,4.0,0.0,5.0,6.0,3.0,,0.0,0.0,,0.0,8.0,0.0,12.0,,117.0,9.0,0.0,,3.0,,5.0,,,0.0,,46.0,,0.0,13.0,,0.0,,,,8
Benin,56,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,,0.0,,0.0,,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,1
Bermuda,58,,0.0,,0.0,6.0,,,,0.0,4.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,4.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.0,0.0,3.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,5.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,2
Bolivia,1361,0.0,,6.0,,215.0,12.0,6.0,,11.0,103.0,7.0,,,12.0,4.0,0.0,,7.0,3.0,0.0,94.0,12.0,3.0,7.0,0.0,4.0,0.0,,3.0,,43.0,5.0,127.0,8.0,0.0,7.0,,,6.0,19.0,,0.0,,62.0,6.0,0.0,535.0,,,5.0,0.0,4.0,7
Bosnia-Herzegovina,8921,10.0,,315.0,4.0,587.0,147.0,108.0,,4.0,659.0,253.0,,220.0,933.0,129.0,,20.0,250.0,12.0,10.0,38.0,229.0,598.0,164.0,,387.0,0.0,55.0,84.0,63.0,93.0,4.0,572.0,118.0,25.0,288.0,5.0,116.0,336.0,8.0,3.0,67.0,132.0,347.0,317.0,125.0,189.0,281.0,0.0,105.0,0.0,0.0,503
Brazil,4583,6.0,4.0,32.0,4.0,701.0,43.0,170.0,,5.0,813.0,56.0,25.0,4.0,75.0,12.0,0.0,12.0,15.0,6.0,5.0,98.0,694.0,42.0,21.0,3.0,19.0,,5.0,38.0,14.0,423.0,6.0,476.0,46.0,,32.0,15.0,13.0,68.0,23.0,9.0,0.0,25.0,211.0,61.0,4.0,121.0,53.0,,22.0,,9.0,36
Bulgaria,2906,,0.0,37.0,,433.0,54.0,24.0,6.0,4.0,154.0,75.0,4.0,5.0,647.0,17.0,4.0,14.0,28.0,8.0,10.0,64.0,130.0,82.0,31.0,,25.0,0.0,3.0,82.0,8.0,80.0,,246.0,27.0,,64.0,3.0,31.0,88.0,,13.0,3.0,20.0,98.0,10.0,7.0,91.0,122.0,3.0,23.0,,,16
Burma,1360,0.0,0.0,4.0,3.0,705.0,4.0,6.0,0.0,0.0,25.0,8.0,8.0,,35.0,41.0,0.0,,,0.0,3.0,40.0,52.0,9.0,18.0,0.0,,0.0,,6.0,,26.0,,214.0,3.0,0.0,9.0,5.0,9.0,11.0,,0.0,0.0,,25.0,,0.0,22.0,39.0,,3.0,0.0,,9
Burundi,56,0.0,0.0,6.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,,,,0.0,0.0,,0.0,0.0,0.0,6.0,12.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0
Cambodia,4806,7.0,6.0,22.0,,1774.0,39.0,69.0,,0.0,71.0,58.0,8.0,3.0,59.0,13.0,10.0,36.0,19.0,9.0,67.0,29.0,768.0,40.0,187.0,3.0,12.0,0.0,4.0,13.0,7.0,9.0,3.0,73.0,41.0,0.0,129.0,5.0,54.0,230.0,91.0,12.0,3.0,20.0,190.0,44.0,,95.0,411.0,,18.0,0.0,0.0,39
Cameroon,661,0.0,,,3.0,50.0,4.0,3.0,5.0,7.0,8.0,38.0,,,19.0,5.0,0.0,8.0,3.0,,,144.0,41.0,10.0,22.0,5.0,,0.0,,6.0,0.0,29.0,,38.0,9.0,0.0,27.0,4.0,,10.0,,,0.0,3.0,83.0,,0.0,34.0,6.0,,9.0,0.0,0.0,9
Canada,7815,22.0,23.0,228.0,18.0,1443.0,165.0,154.0,10.0,21.0,712.0,144.0,70.0,43.0,201.0,67.0,3.0,24.0,49.0,33.0,103.0,102.0,289.0,392.0,118.0,15.0,57.0,52.0,14.0,102.0,92.0,176.0,27.0,474.0,183.0,20.0,193.0,35.0,130.0,179.0,22.0,32.0,10.0,106.0,502.0,84.0,72.0,170.0,440.0,21.0,71.0,5.0,6.0,91
Cape Verde,933,0.0,0.0,0.0,0.0,7.0,0.0,26.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,10.0,,0.0,,,0.0,,179.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10
Chile,1183,6.0,,17.0,,262.0,14.0,21.0,4.0,,193.0,11.0,7.0,3.0,17.0,3.0,0.0,0.0,0.0,4.0,,30.0,39.0,5.0,8.0,,,0.0,,17.0,,91.0,3.0,195.0,18.0,0.0,12.0,0.0,13.0,13.0,,4.0,0.0,3.0,44.0,31.0,0.0,40.0,13.0,,4.0,0.0,12.0,11
"China, People's Republic",31708,45.0,14.0,159.0,28.0,12659.0,168.0,263.0,46.0,35.0,363.0,219.0,448.0,38.0,965.0,116.0,,64.0,56.0,44.0,35.0,621.0,1419.0,358.0,179.0,28.0,113.0,12.0,30.0,166.0,36.0,1037.0,28.0,7061.0,195.0,0.0,454.0,60.0,386.0,773.0,60.0,43.0,11.0,101.0,1047.0,109.0,26.0,515.0,663.0,20.0,133.0,,63.0,188
Colombia,11396,10.0,11.0,48.0,9.0,864.0,45.0,323.0,15.0,8.0,2908.0,190.0,24.0,5.0,212.0,32.0,,14.0,23.0,23.0,5.0,132.0,378.0,50.0,31.0,9.0,18.0,6.0,10.0,53.0,28.0,1742.0,13.0,2374.0,135.0,4.0,66.0,31.0,30.0,213.0,141.0,44.0,,50.0,506.0,37.0,,219.0,60.0,4.0,39.0,,81.0,117
"Congo, Democratic Republic",122,0.0,0.0,4.0,0.0,14.0,,,0.0,,4.0,6.0,,0.0,3.0,5.0,0.0,0.0,,,9.0,10.0,4.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,8.0,0.0,6.0,0.0,4.0,0.0,0.0,,0.0,,13.0,,0.0,3.0,,0.0,,0.0,0.0,2
"Congo, Republic",193,0.0,0.0,,0.0,23.0,3.0,3.0,,3.0,4.0,7.0,0.0,0.0,,,0.0,0.0,,0.0,5.0,13.0,14.0,,5.0,0.0,,0.0,0.0,0.0,3.0,5.0,,12.0,12.0,0.0,3.0,0.0,,4.0,6.0,,,5.0,25.0,4.0,,8.0,7.0,0.0,,0.0,0.0,0
Costa Rica,1161,,,6.0,,219.0,9.0,23.0,,0.0,217.0,23.0,3.0,,20.0,7.0,0.0,3.0,3.0,13.0,0.0,21.0,32.0,4.0,7.0,,5.0,,,16.0,,133.0,,148.0,30.0,0.0,5.0,3.0,7.0,25.0,8.0,7.0,,6.0,61.0,7.0,,22.0,10.0,0.0,11.0,0.0,11.0,19
Cote d'Ivoire,324,,0.0,3.0,0.0,31.0,,5.0,3.0,,11.0,9.0,,,13.0,,0.0,0.0,,0.0,0.0,34.0,16.0,11.0,,0.0,0.0,0.0,0.0,3.0,0.0,17.0,,72.0,9.0,0.0,5.0,0.0,0.0,19.0,,0.0,,0.0,13.0,,0.0,18.0,8.0,0.0,3.0,0.0,,3
Croatia,1348,,0.0,50.0,,123.0,18.0,13.0,8.0,6.0,112.0,30.0,,20.0,171.0,34.0,0.0,3.0,11.0,5.0,11.0,9.0,38.0,30.0,12.0,0.0,18.0,,,36.0,7.0,34.0,,114.0,7.0,,106.0,,15.0,34.0,,0.0,12.0,10.0,56.0,27.0,5.0,27.0,24.0,0.0,66.0,0.0,,34
Cuba,11227,,3.0,33.0,7.0,324.0,9.0,25.0,6.0,,8771.0,62.0,7.0,,57.0,11.0,,5.0,100.0,46.0,0.0,23.0,44.0,59.0,10.0,,30.0,0.0,11.0,151.0,,474.0,17.0,216.0,58.0,,14.0,3.0,38.0,38.0,4.0,5.0,3.0,13.0,148.0,3.0,,49.0,23.0,,12.0,0.0,177.0,125
Cyprus,134,,0.0,,0.0,29.0,0.0,0.0,0.0,,4.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,5.0,,,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,31.0,4.0,0.0,,0.0,,,0.0,0.0,0.0,,8.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0
Czech Republic,102,,0.0,5.0,0.0,19.0,4.0,5.0,0.0,,5.0,,,0.0,16.0,,0.0,,0.0,0.0,,,3.0,3.0,,0.0,0.0,0.0,,,0.0,3.0,0.0,6.0,,0.0,6.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,1
Czechoslovakia (former),490,,,6.0,,99.0,16.0,8.0,,4.0,60.0,7.0,,0.0,22.0,3.0,0.0,0.0,4.0,6.0,0.0,8.0,13.0,9.0,4.0,0.0,6.0,0.0,0.0,7.0,4.0,29.0,4.0,44.0,3.0,0.0,11.0,4.0,9.0,24.0,,0.0,,6.0,19.0,,,13.0,15.0,,9.0,0.0,0.0,0
Denmark,154,0.0,0.0,,0.0,43.0,5.0,7.0,0.0,0.0,8.0,0.0,3.0,,6.0,,0.0,0.0,,0.0,0.0,0.0,,,4.0,0.0,,,0.0,,0.0,6.0,0.0,12.0,,0.0,3.0,0.0,3.0,5.0,,0.0,,0.0,8.0,,0.0,8.0,8.0,0.0,,0.0,0.0,2
Dominica,543,,,,,9.0,3.0,11.0,3.0,,58.0,7.0,,0.0,3.0,,0.0,0.0,,,0.0,16.0,36.0,4.0,,,4.0,0.0,0.0,,0.0,46.0,0.0,157.0,6.0,0.0,,,,10.0,,0.0,0.0,0.0,32.0,,0.0,11.0,3.0,0.0,0.0,0.0,84.0,15
Dominican Republic,20831,3.0,25.0,10.0,,116.0,14.0,265.0,21.0,32.0,1486.0,73.0,15.0,,50.0,40.0,0.0,11.0,24.0,26.0,7.0,127.0,2596.0,67.0,14.0,6.0,16.0,,9.0,28.0,67.0,2928.0,3.0,10001.0,100.0,,76.0,7.0,4.0,555.0,590.0,9.0,0.0,22.0,93.0,12.0,,126.0,24.0,0.0,21.0,0.0,959.0,145
Ecuador,7091,3.0,3.0,21.0,5.0,569.0,15.0,199.0,8.0,6.0,654.0,40.0,10.0,4.0,248.0,13.0,,12.0,12.0,11.0,3.0,77.0,133.0,9.0,42.0,,3.0,0.0,6.0,18.0,9.0,1334.0,7.0,3010.0,50.0,0.0,32.0,10.0,9.0,87.0,9.0,4.0,4.0,6.0,126.0,25.0,,114.0,19.0,3.0,13.0,0.0,25.0,66
