,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
North America,151047.0,119.0,149.0,2955.0,315.0,40831.0,1668.0,1342.0,219.0,230.0,23624.0,1365.0,234.0,322.0,6620.0,590.0,373.0,642.0,235.0,388.0,117.0,2383.0,3871.0,1297.0,632.0,123.0,547.0,76.0,633.0,1615.0,187.0,6103.0,764.0,20277.0,1161.0,57.0,691.0,472.0,715.0,1331.0,700.0,322.0,45.0,421.0,15327.0,0.0,682.0,866.0,62.0,1917.0,1703.0,38.0,592.0,50.0,3049
Canada,7682.0,,22.0,223.0,25.0,1318.0,176.0,157.0,15.0,,880.0,118.0,23.0,49.0,210.0,66.0,25.0,36.0,28.0,31.0,77.0,,234.0,559.0,150.0,9.0,85.0,48.0,17.0,,89.0,,32.0,462.0,142.0,21.0,204.0,39.0,117.0,130.0,26.0,65.0,12.0,73.0,,0.0,4.0,113.0,53.0,129.0,411.0,8.0,57.0,10.0,114
Greenland,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,63840.0,45.0,59.0,2453.0,214.0,29541.0,1256.0,74.0,56.0,16.0,1039.0,444.0,58.0,246.0,5207.0,379.0,284.0,486.0,60.0,68.0,,125.0,93.0,400.0,287.0,49.0,256.0,14.0,494.0,1063.0,19.0,289.0,655.0,719.0,395.0,12.0,173.0,343.0,493.0,184.0,19.0,92.0,20.0,177.0,11970.0,0.0,34.0,581.0,,250.0,976.0,9.0,402.0,32.0,1221
United States,36.0,,0.0,,,,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0
Caribbean,54811.0,28.0,45.0,,,968.0,82.0,989.0,129.0,89.0,18330.0,598.0,96.0,10.0,455.0,79.0,14.0,42.0,118.0,76.0,23.0,1192.0,3097.0,252.0,83.0,31.0,113.0,6.0,27.0,165.0,63.0,4723.0,33.0,17020.0,344.0,14.0,214.0,37.0,45.0,879.0,520.0,95.0,8.0,90.0,748.0,0.0,597.0,46.0,5.0,552.0,,12.0,79.0,3.0,1317
Anguilla,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Antigua-Barbuda,357.0,0.0,0.0,,,7.0,0.0,8.0,,,51.0,6.0,3.0,0.0,,,,,,3.0,0.0,8.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,29.0,,155.0,4.0,0.0,,,0.0,6.0,0.0,,0.0,,10.0,0.0,26.0,,0.0,7.0,,0.0,0.0,0.0,7
Aruba,30.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Bahamas, The",378.0,3.0,0.0,,,13.0,,0.0,0.0,,220.0,15.0,3.0,,,3.0,,3.0,3.0,,,10.0,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,30.0,10.0,0.0,0.0,,0.0,6.0,0.0,,0.0,3.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,,0.0,9
Barbados,650.0,0.0,,6.0,,15.0,,16.0,,,64.0,12.0,3.0,0.0,,3.0,0.0,0.0,,,0.0,17.0,54.0,4.0,0.0,,,0.0,0.0,3.0,0.0,46.0,0.0,312.0,,0.0,7.0,,0.0,15.0,,5.0,0.0,,11.0,0.0,,0.0,0.0,11.0,4.0,0.0,,0.0,13
Bermuda,47.0,0.0,0.0,0.0,0.0,4.0,,0.0,,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,3.0,,0.0,,0.0,0.0,,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1
British Virgin Islands,41.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5
Cayman Islands,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cuba,11236.0,6.0,4.0,29.0,3.0,315.0,10.0,18.0,3.0,3.0,9033.0,34.0,4.0,0.0,87.0,9.0,,3.0,73.0,24.0,,28.0,41.0,45.0,11.0,6.0,22.0,0.0,6.0,109.0,,418.0,14.0,181.0,39.0,3.0,15.0,,30.0,20.0,4.0,8.0,,16.0,142.0,0.0,58.0,5.0,0.0,41.0,20.0,,5.0,,281
Dominica,441.0,0.0,5.0,,0.0,11.0,3.0,6.0,0.0,0.0,61.0,13.0,,0.0,12.0,,0.0,0.0,0.0,0.0,,11.0,20.0,,,0.0,0.0,0.0,0.0,,0.0,41.0,0.0,96.0,,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,34.0,0.0,51.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,40
Dominican Republic,15464.0,,22.0,11.0,,83.0,17.0,150.0,18.0,21.0,1354.0,58.0,11.0,,62.0,22.0,5.0,8.0,7.0,12.0,5.0,130.0,1694.0,66.0,9.0,5.0,16.0,,7.0,23.0,34.0,2206.0,7.0,7587.0,87.0,,52.0,6.0,,295.0,433.0,12.0,,11.0,95.0,0.0,300.0,22.0,,87.0,13.0,0.0,25.0,0.0,366
Grenada,530.0,0.0,0.0,,0.0,8.0,0.0,,3.0,,33.0,9.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,31.0,8.0,,,,,0.0,0.0,0.0,0.0,21.0,0.0,328.0,3.0,0.0,,,0.0,4.0,0.0,0.0,0.0,3.0,20.0,0.0,,,,19.0,3.0,,,0.0,8
Guadeloupe,21.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Haiti,8215.0,,3.0,14.0,,74.0,13.0,187.0,40.0,8.0,3225.0,108.0,13.0,,76.0,17.0,3.0,6.0,9.0,6.0,,132.0,900.0,27.0,9.0,4.0,32.0,,,11.0,17.0,706.0,,1886.0,46.0,4.0,19.0,,5.0,164.0,52.0,14.0,,9.0,36.0,0.0,10.0,5.0,0.0,63.0,22.0,,0.0,0.0,223
Jamaica,12271.0,11.0,4.0,13.0,4.0,280.0,17.0,543.0,47.0,30.0,3408.0,249.0,36.0,,185.0,10.0,,10.0,12.0,16.0,7.0,511.0,245.0,74.0,30.0,8.0,32.0,0.0,5.0,8.0,8.0,867.0,4.0,4318.0,93.0,3.0,79.0,14.0,6.0,274.0,13.0,32.0,,23.0,183.0,0.0,19.0,9.0,0.0,193.0,24.0,8.0,36.0,0.0,265
Martinique,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
Montserrat,54.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,10.0,,,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Netherlands Antilles,23.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
St. Kitts-Nevis,282.0,0.0,0.0,,0.0,4.0,0.0,10.0,0.0,0.0,49.0,4.0,,0.0,0.0,,0.0,0.0,3.0,,,9.0,7.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,,76.0,6.0,,3.0,3.0,0.0,,,0.0,,,8.0,0.0,54.0,0.0,,8.0,,0.0,0.0,0.0,10
St. Lucia,359.0,0.0,,0.0,0.0,18.0,,14.0,,,51.0,9.0,,0.0,,,0.0,,0.0,,0.0,14.0,6.0,,3.0,0.0,,0.0,0.0,,,19.0,0.0,126.0,4.0,0.0,,,,4.0,,,0.0,,26.0,0.0,27.0,0.0,0.0,4.0,,0.0,0.0,0.0,4
St. Vincent & the Grenadines,388.0,0.0,0.0,,0.0,9.0,,3.0,0.0,,34.0,3.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,7.0,14.0,,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,245.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,,9.0,0.0,4.0,,0.0,5.0,0.0,0.0,,0.0,7
Trinidad & Tobago,3958.0,4.0,3.0,9.0,,121.0,13.0,30.0,13.0,19.0,695.0,69.0,13.0,4.0,23.0,9.0,,6.0,5.0,8.0,,271.0,86.0,21.0,14.0,3.0,3.0,3.0,3.0,5.0,0.0,319.0,4.0,1620.0,41.0,,23.0,5.0,,75.0,8.0,16.0,,13.0,157.0,0.0,17.0,,,91.0,24.0,0.0,5.0,,73
Turks & Caicos Islands,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
U.S. Virgin Islands,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Central America,24677.0,26.0,23.0,185.0,61.0,8995.0,154.0,122.0,19.0,117.0,3370.0,205.0,57.0,17.0,745.0,66.0,50.0,78.0,29.0,213.0,9.0,974.0,447.0,,112.0,34.0,93.0,8.0,95.0,303.0,16.0,915.0,44.0,2073.0,280.0,10.0,100.0,53.0,60.0,138.0,135.0,70.0,5.0,81.0,2191.0,0.0,47.0,126.0,,982.0,192.0,9.0,54.0,5.0,397
Belize,664.0,0.0,,5.0,0.0,277.0,3.0,,0.0,,59.0,6.0,0.0,0.0,72.0,0.0,,,,4.0,0.0,3.0,,5.0,,,,0.0,0.0,7.0,0.0,17.0,0.0,104.0,4.0,0.0,,3.0,,,,3.0,0.0,,48.0,0.0,,0.0,0.0,4.0,3.0,0.0,3.0,,11
Costa Rica,970.0,,0.0,5.0,0.0,195.0,3.0,11.0,,,211.0,20.0,,,14.0,,,,,4.0,0.0,15.0,22.0,9.0,10.0,3.0,,0.0,0.0,7.0,,114.0,,105.0,16.0,,,4.0,,23.0,7.0,9.0,0.0,,49.0,0.0,,5.0,0.0,22.0,13.0,0.0,7.0,0.0,21
El Salvador,9602.0,,10.0,68.0,37.0,4456.0,66.0,22.0,3.0,75.0,274.0,56.0,18.0,7.0,139.0,26.0,13.0,35.0,,18.0,,610.0,147.0,18.0,35.0,3.0,27.0,,38.0,141.0,3.0,286.0,17.0,687.0,74.0,,23.0,10.0,24.0,22.0,16.0,10.0,,15.0,1218.0,0.0,15.0,50.0,0.0,602.0,61.0,4.0,8.0,,100
Guatemala,5080.0,7.0,,59.0,10.0,2312.0,24.0,56.0,5.0,13.0,274.0,34.0,,7.0,355.0,10.0,13.0,16.0,9.0,24.0,3.0,143.0,152.0,12.0,25.0,6.0,13.0,,29.0,81.0,3.0,160.0,13.0,336.0,31.0,,20.0,9.0,20.0,30.0,99.0,15.0,0.0,9.0,309.0,0.0,7.0,45.0,0.0,147.0,29.0,,12.0,0.0,80
Honduras,3455.0,8.0,,19.0,9.0,597.0,23.0,,,11.0,736.0,28.0,8.0,,94.0,16.0,13.0,13.0,6.0,127.0,3.0,54.0,84.0,14.0,19.0,9.0,29.0,,14.0,22.0,4.0,239.0,4.0,540.0,48.0,,12.0,14.0,6.0,35.0,5.0,6.0,,20.0,318.0,0.0,4.0,13.0,0.0,84.0,34.0,0.0,7.0,,87
Nicaragua,3444.0,0.0,,12.0,,1001.0,9.0,10.0,,12.0,1498.0,19.0,10.0,0.0,43.0,,5.0,6.0,,25.0,,100.0,,8.0,,,12.0,0.0,7.0,32.0,,56.0,,110.0,62.0,,12.0,4.0,5.0,,,9.0,,12.0,123.0,0.0,5.0,10.0,3.0,71.0,23.0,0.0,7.0,,70
Panama,1462.0,5.0,8.0,17.0,,157.0,26.0,12.0,7.0,3.0,318.0,42.0,13.0,0.0,28.0,8.0,0.0,5.0,9.0,11.0,0.0,49.0,25.0,18.0,16.0,10.0,6.0,4.0,7.0,13.0,3.0,43.0,6.0,191.0,45.0,,19.0,9.0,,16.0,5.0,18.0,0.0,20.0,126.0,0.0,12.0,3.0,0.0,52.0,29.0,,10.0,0.0,28
South America,38676.0,34.0,31.0,192.0,22.0,4431.0,239.0,780.0,66.0,79.0,8488.0,413.0,63.0,33.0,888.0,89.0,38.0,91.0,60.0,98.0,26.0,954.0,1048.0,230.0,288.0,31.0,124.0,15.0,41.0,199.0,66.0,5038.0,74.0,8805.0,394.0,11.0,225.0,95.0,73.0,472.0,206.0,146.0,6.0,97.0,1244.0,0.0,89.0,312.0,14.0,1232.0,260.0,13.0,78.0,7.0,628
Argentina,1965.0,0.0,,9.0,3.0,495.0,19.0,35.0,4.0,9.0,475.0,13.0,,0.0,42.0,15.0,4.0,10.0,,7.0,,42.0,46.0,25.0,19.0,,9.0,,0.0,21.0,5.0,109.0,,226.0,14.0,0.0,14.0,,7.0,32.0,9.0,7.0,0.0,3.0,61.0,0.0,14.0,48.0,4.0,44.0,18.0,0.0,6.0,0.0,28
Bolivia,1125.0,,0.0,6.0,0.0,197.0,9.0,,,5.0,116.0,6.0,,,21.0,4.0,,,,3.0,,100.0,14.0,6.0,,,5.0,,0.0,,0.0,42.0,,90.0,6.0,0.0,,5.0,,,20.0,3.0,0.0,,44.0,0.0,,15.0,0.0,344.0,7.0,,4.0,0.0,9
Brazil,4074.0,,5.0,31.0,,637.0,33.0,124.0,,9.0,913.0,44.0,15.0,4.0,65.0,5.0,,8.0,10.0,16.0,3.0,109.0,409.0,66.0,24.0,,16.0,,,38.0,15.0,429.0,6.0,394.0,39.0,,24.0,15.0,14.0,55.0,20.0,16.0,,17.0,147.0,0.0,5.0,56.0,,94.0,38.0,,19.0,0.0,65
Chile,1142.0,3.0,,13.0,,239.0,10.0,17.0,7.0,3.0,264.0,8.0,,0.0,28.0,,,,,6.0,,38.0,33.0,5.0,11.0,,,0.0,4.0,8.0,0.0,83.0,6.0,121.0,11.0,0.0,17.0,0.0,9.0,10.0,,,0.0,5.0,52.0,0.0,3.0,32.0,0.0,27.0,19.0,,6.0,,19
Colombia,9819.0,12.0,14.0,48.0,5.0,696.0,37.0,221.0,16.0,16.0,3085.0,148.0,17.0,7.0,207.0,22.0,7.0,18.0,8.0,23.0,8.0,134.0,261.0,46.0,47.0,11.0,30.0,6.0,15.0,57.0,24.0,1414.0,28.0,1680.0,133.0,3.0,41.0,18.0,11.0,145.0,115.0,61.0,,24.0,382.0,0.0,24.0,30.0,3.0,167.0,60.0,,18.0,,208
Ecuador,5616.0,3.0,,17.0,,437.0,15.0,118.0,7.0,,627.0,20.0,5.0,,320.0,9.0,3.0,14.0,5.0,11.0,4.0,81.0,79.0,9.0,43.0,0.0,10.0,0.0,6.0,16.0,9.0,1107.0,8.0,2104.0,58.0,3.0,18.0,6.0,,68.0,17.0,15.0,,6.0,110.0,0.0,9.0,21.0,,70.0,21.0,,4.0,,88
French Guiana,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guyana,4877.0,3.0,,8.0,0.0,74.0,7.0,57.0,19.0,18.0,438.0,68.0,5.0,0.0,17.0,,0.0,5.0,3.0,4.0,0.0,165.0,40.0,15.0,104.0,,6.0,0.0,,,,528.0,4.0,2950.0,38.0,0.0,38.0,,,41.0,,16.0,,10.0,60.0,0.0,0.0,0.0,0.0,51.0,12.0,0.0,,0.0,55
Paraguay,178.0,0.0,0.0,,0.0,17.0,,,0.0,,,,0.0,,,0.0,,3.0,0.0,0.0,0.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,55.0,,0.0,,0.0,,,0.0,,0.0,0.0,5.0,0.0,0.0,,0.0,12.0,5.0,0.0,,0.0,5
Peru,6980.0,6.0,4.0,41.0,7.0,1384.0,74.0,171.0,8.0,11.0,1361.0,60.0,12.0,9.0,134.0,12.0,8.0,16.0,18.0,15.0,4.0,211.0,92.0,23.0,18.0,8.0,25.0,,7.0,48.0,4.0,1126.0,13.0,919.0,63.0,,34.0,39.0,26.0,81.0,10.0,15.0,,16.0,219.0,0.0,13.0,76.0,,354.0,63.0,3.0,8.0,,103
Suriname,97.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,27.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,5.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,,0.0,,0.0,0.0,4.0,0.0,,0.0,,4.0,0.0,,0.0,0.0,6.0,0.0,0.0,,0.0,2
Uruguay,412.0,,,,0.0,59.0,,10.0,0.0,,92.0,,,,4.0,,,,,0.0,0.0,14.0,15.0,,5.0,0.0,,,0.0,,,70.0,0.0,52.0,3.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,,,,13.0,5.0,0.0,,0.0,8
Venezuela,2385.0,3.0,0.0,14.0,,183.0,28.0,20.0,,4.0,1066.0,39.0,3.0,6.0,46.0,17.0,6.0,13.0,9.0,13.0,3.0,45.0,56.0,30.0,12.0,4.0,17.0,,4.0,6.0,6.0,112.0,4.0,193.0,25.0,,27.0,8.0,,28.0,10.0,9.0,0.0,13.0,143.0,0.0,16.0,26.0,,50.0,12.0,3.0,7.0,0.0,38
Other,1358.0,3.0,10.0,5.0,1.0,255.0,19.0,6.0,3.0,2.0,38.0,9.0,0.0,0.0,134.0,8.0,4.0,10.0,4.0,7.0,3.0,15.0,32.0,71.0,16.0,2.0,9.0,3.0,4.0,1.0,3.0,48.0,3.0,135.0,1.0,0.0,51.0,2.0,10.0,24.0,8.0,3.0,0.0,8.0,68.0,0.0,18.0,16.0,1.0,58.0,22.0,2.0,16.0,0.0,187
Stateless,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2
Unknown,1349.0,3.0,10.0,5.0,1.0,255.0,19.0,6.0,3.0,2.0,38.0,9.0,0.0,0.0,134.0,8.0,4.0,9.0,4.0,7.0,3.0,15.0,32.0,71.0,16.0,2.0,9.0,3.0,4.0,1.0,3.0,48.0,3.0,134.0,1.0,0.0,51.0,2.0,10.0,24.0,8.0,3.0,0.0,8.0,68.0,0.0,18.0,15.0,1.0,54.0,22.0,2.0,16.0,0.0,185
