bills,clusters,no_dem,no_rep,year,yes_dem,yes_rep
s908,4,0.45,0.0,1995,0.01,0.54
s143,3,0.333333333333,0.10101010101,1995,0.121212121212,0.424242424242
s1664,0,0.0,0.0,1996,0.47,0.53
s1357,3,0.44,0.02,1996,0.01,0.51
s1956,3,0.42,0.04,1996,0.04,0.48
hr4278,1,0.01,0.14,1996,0.46,0.38
hr667,2,0.311059907834,0.0460829493088,1995,0.135944700461,0.47465437788
hr668,0,0.0437788018433,0.00230414746544,1995,0.375576036866,0.497695852535
hr1271,3,0.0161290322581,0.0,1995,0.442396313364,0.518433179724
hr889,1,0.15668202765,0.0253456221198,1995,0.299539170507,0.490783410138
hr1158,1,0.425287356322,0.00689655172414,1995,0.0229885057471,0.51724137931
hr1944,1,0.345622119816,0.0,1995,0.103686635945,0.532258064516
hr1617,3,0.172811059908,0.00691244239631,1995,0.274193548387,0.520737327189
hr4,3,0.398617511521,0.00921658986175,1995,0.0391705069124,0.52534562212
hr2076,2,0.355658198614,0.00923787528868,1996,0.0508083140878,0.503464203233
hr2703,2,0.305555555556,0.134259259259,1996,0.122685185185,0.407407407407
hres384,0,0.348027842227,0.00232018561485,1996,0.0348027842227,0.505800464037
s735,2,0.198614318707,0.10623556582,1996,0.242494226328,0.434180138568
hr3019,1,0.0115207373272,0.0460829493088,1996,0.423963133641,0.493087557604
hr1561,4,0.424942263279,0.00692840646651,1996,0.0115473441109,0.528868360277
hr3259,4,0.182448036952,0.491916859122,1996,0.272517321016,0.0415704387991
hr3814,1,0.254041570439,0.157043879908,1996,0.193995381062,0.374133949192
hr3734,3,0.225806451613,0.00460829493088,1996,0.225806451613,0.529953917051
hres528,0,0.378752886836,0.0,1996,0.0577367205543,0.528868360277
hr2202,0,0.269585253456,0.0115207373272,1996,0.175115207373,0.527649769585
hr4134,0,0.352534562212,0.0483870967742,1996,0.0944700460829,0.490783410138
hr3610,1,0.0299539170507,0.0552995391705,1996,0.384792626728,0.465437788018
s903,4,0.22,0.52,1997,0.21,0.0
s947,3,0.24,0.03,1997,0.21,0.52
s936,4,0.04,0.0,1997,0.39,0.55
s1022,2,0.0,0.0,1997,0.45,0.54
s1061,1,0.0,0.08,1997,0.45,0.47
sconres86,3,0.41,0.0,1998,0.03,0.54
s1723,0,0.18,0.02,1998,0.27,0.51
s1882,3,0.04,0.52,1998,0.4,0.01
s2260,2,0.0,0.0,1998,0.45,0.54
s2312,4,0.0,0.54,1998,0.45,0.0
s2334,4,0.01,0.02,1998,0.41,0.49
hjres58,4,0.355658198614,0.0484988452656,1997,0.10623556582,0.471131639723
hr1385,3,0.00923787528868,0.129330254042,1997,0.431870669746,0.357967667436
hr1469,1,0.458525345622,0.0115207373272,1997,0.0,0.497695852535
hr1871,1,0.00230414746544,0.168202764977,1997,0.453917050691,0.345622119816
hr2015,3,0.119540229885,0.0735632183908,1997,0.351724137931,0.44367816092
hr2027,0,0.0115473441109,0.0,1997,0.43648960739,0.512702078522
hjres94,1,0.0115473441109,0.120092378753,1997,0.431870669746,0.385681293303
s1161,0,0.387990762125,0.0554272517321,1997,0.0762124711316,0.454965357968
hr1757,4,0.362586605081,0.0739030023095,1997,0.103926096998,0.441108545035
hr2607,3,0.309468822171,0.0,1997,0.00230946882217,0.37182448037
hr2464,0,0.0,0.0,1997,0.461893764434,0.505773672055
hr1119,4,0.230946882217,0.0508083140878,1997,0.217090069284,0.443418013857
hr1493,0,0.0,0.00462962962963,1997,0.449074074074,0.497685185185
hr2264,1,0.0115473441109,0.13856812933,1997,0.448036951501,0.362586605081
hr2920,0,0.182448036952,0.0254041570439,1997,0.274826789838,0.473441108545
hr2267,2,0.145833333333,0.106481481481,1997,0.282407407407,0.37037037037
hr1428,0,0.431554524362,0.030162412993,1998,0.0162412993039,0.470997679814
hr3130,3,0.0,0.00232558139535,1998,0.453488372093,0.506976744186
hr2578,0,0.0,0.0,1998,0.43023255814,0.513953488372
hr3581,3,0.455813953488,0.325581395349,1998,0.0,0.172093023256
hr6,3,0.0,0.00925925925926,1998,0.458333333333,0.497685185185
hr2431,4,0.0625,0.0324074074074,1998,0.391203703704,0.476851851852
hr3989,3,0.453917050691,0.513824884793,1998,0.0,0.0
hconres284,3,0.447004608295,0.0207373271889,1998,0.00691244239631,0.490783410138
hr4276,2,0.402298850575,0.0620689655172,1998,0.064367816092,0.452873563218
hr4300,4,0.0804597701149,0.00689655172414,1998,0.379310344828,0.503448275862
hr3736,0,0.225287356322,0.0781609195402,1998,0.227586206897,0.434482758621
hr4194,3,0.0115207373272,0.0207373271889,1998,0.44930875576,0.490783410138
hr4328,1,0.0712643678161,0.147126436782,1998,0.390804597701,0.372413793103
s544,1,0.11,0.48,1999,0.34,0.06
s254,2,0.02,0.23,1999,0.42,0.31
s886,4,0.01,0.01,1999,0.44,0.53
s1217,2,0.41,0.2,1999,0.02,0.33
s1233,1,0.04,0.39,1999,0.38,0.14
s2045,0,0.01,0.0,2000,0.42,0.54
hr1555,4,0.300230946882,0.491916859122,1999,0.140877598152,0.013856812933
hr1141,1,0.205069124424,0.15668202765,1999,0.269585253456,0.350230414747
hr1401,4,0.12183908046,0.00919540229885,1999,0.347126436782,0.491954022989
hr1658,2,0.0506912442396,0.0599078341014,1999,0.421658986175,0.440092165899
s1059,4,0.0831408775982,0.0184757505774,1999,0.390300230947,0.475750577367
hr1906,1,0.256351039261,0.145496535797,1999,0.198614318707,0.355658198614
hr2886,0,0.0,0.0,1999,0.450346420323,0.480369515012
hr2670,1,0.44930875576,0.0391705069124,1999,0.0299539170507,0.465437788018
hr3073,3,0.115473441109,0.0969976905312,1999,0.360277136259,0.397228637413
hr1501,2,0.00691244239631,0.0414746543779,2000,0.47465437788,0.458525345622
hr4690,2,0.393103448276,0.0505747126437,2000,0.0597701149425,0.432183908046
hr4425,1,0.147126436782,0.101149425287,2000,0.310344827586,0.393103448276
hr4678,3,0.0161290322581,0.0253456221198,2000,0.453917050691,0.47465437788
hr3244,2,0.0,0.00230414746544,2000,0.41935483871,0.430875576037
hr4577,1,0.0208333333333,0.118055555556,2000,0.363425925926,0.30787037037
s1510,2,0.01,0.0,2001,0.49,0.46
s1214,4,0.0,0.0,2002,0.45,0.48
hr1885,0,0.00462962962963,0.0925925925926,2001,0.425925925926,0.351851851852
hr1209,0,0.0,0.0,2001,0.4686774942,0.494199535963
hr2586,4,0.0372093023256,0.00232558139535,2001,0.425581395349,0.495348837209
hr2975,2,0.174013921114,0.00696055684455,2001,0.299303944316,0.480278422274
hr3004,2,0.0,0.00232558139535,2001,0.46511627907,0.488372093023
hr3162,2,0.143518518519,0.00694444444444,2001,0.335648148148,0.488425925926
hr2500,1,0.0,0.0347222222222,2001,0.481481481481,0.465277777778
hr3394,4,0.0,0.0276497695853,2002,0.460829493088,0.456221198157
hr1892,0,0.0,0.00461893764434,2002,0.448036951501,0.482678983834
hres396,0,0.0645161290323,0.0115207373272,2002,0.403225806452,0.488479262673
hr3231,4,0.016091954023,0.00229885057471,2002,0.434482758621,0.494252873563
hr3525,0,0.0,0.0,2002,0.456221198157,0.488479262673
hr3448,3,0.0,0.00230414746544,2002,0.479262672811,0.495391705069
hr4858,0,0.0,0.0138248847926,2002,0.460829493088,0.47465437788
hr5063,3,0.0,0.0,2002,0.453917050691,0.493087557604
hr4775,1,0.0299539170507,0.0414746543779,2002,0.44930875576,0.463133640553
hconres188,4,0.0,0.0,2002,0.470046082949,0.493087557604
hr5005,4,0.277136258661,0.0230946882217,2002,0.203233256351,0.478060046189
hr1646,4,0.0,0.0,2002,0.425925925926,0.456018518519
hconres297,4,0.0,0.0,2002,0.465277777778,0.497685185185
hr2215,2,0.0,0.00925925925926,2002,0.446759259259,0.476851851852
hjres122,1,0.327146171694,0.0046403712297,2002,0.141531322506,0.489559164733
hr2155,0,0.215777262181,0.0,2002,0.218097447796,0.4686774942
hr5710,4,0.264501160093,0.0139211136891,2002,0.201856148492,0.491879350348
