Country,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
All countries,All countries,109078.0,96589.0,114498.0,107926.0,109593.0,98520.0,74791.0,69276.0,76181.0,85076.0,72143.0,68925.0,26839.0,28306.0,52835.0,,,,,,,,,
Europe,Europe,56912.0,45516.0,64184.0,51278.0,50838.0,45703.0,41617.0,48450.0,54260.0,55877.0,37664.0,31526.0,15408.0,11269.0,9254.0,10524.0,9615.0,4192.0,2059.0,1693.0,1238.0,996.0,908.0,482.0
Albania ,Albania ,98.0,1363.0,1108.0,458.0,171.0,51.0,23.0,9.0,,8.0,,3.0,5.0,,,,,,,,,,,
Armenia,Armenia,,,,,,,,,,35.0,20.0,27.0,30.0,63.0,88.0,86.0,87.0,29.0,9.0,4.0,,15.0,8.0,3.0
Azerbaijan,Azerbaijan,,,,,,,,,,210.0,259.0,449.0,115.0,406.0,407.0,299.0,77.0,78.0,30.0,38.0,18.0,16.0,10.0,3.0
Belarus,Belarus,,,,,,,,,,1008.0,1050.0,971.0,680.0,702.0,659.0,445.0,350.0,219.0,111.0,146.0,103.0,66.0,83.0,10.0
Bosnia-Herzegovina,Bosnia-Herzegovina,,,0.0,1887.0,7088.0,9870.0,12030.0,21357.0,30906.0,22699.0,19033.0,14593.0,3463.0,525.0,244.0,61.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria ,Bulgaria ,332.0,585.0,126.0,34.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Croatia,Croatia,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,2995.0,1020.0,109.0,144.0,92.0,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechoslovakia  1,Czechoslovakia  1,345.0,158.0,,3.0,5.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,
Estonia,Estonia,,,,,,,,,,71.0,81.0,57.0,38.0,28.0,27.0,17.0,7.0,6.0,6.0,,0.0,0.0,,0.0
France,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,
Georgia,Georgia,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,49.0,14.0,53.0,33.0,11.0,4.0,7.0,20.0,4.0,4.0,20.0,7.0,
Hungary ,Hungary ,274.0,7.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Kazakhstan,Kazakhstan,,,,,,,,,,412.0,284.0,291.0,222.0,118.0,312.0,80.0,124.0,45.0,62.0,52.0,46.0,53.0,7.0,11.0
Kyrgyzstan,Kyrgyzstan,,,,,,,,,,140.0,147.0,116.0,69.0,46.0,100.0,38.0,15.0,17.0,25.0,46.0,27.0,30.0,49.0,19.0
Latvia,Latvia,,,,,,,,,,167.0,103.0,125.0,57.0,49.0,52.0,25.0,21.0,17.0,6.0,,0.0,4.0,0.0,0.0
Lithuania,Lithuania,,,,,,,,,,20.0,16.0,40.0,,21.0,13.0,9.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Macedonia,Macedonia,,,,,0.0,0.0,0.0,0.0,0.0,3.0,,,4.0,13.0,0.0,,,,,,,,,
Moldova,Moldova,,,,,,,,,,1035.0,1056.0,1168.0,1021.0,616.0,1711.0,1016.0,721.0,565.0,487.0,445.0,356.0,331.0,255.0,119.0
Poland ,Poland ,1491.0,290.0,134.0,54.0,31.0,39.0,,6.0,,3.0,,4.0,0.0,0.0,0.0,,,,,,,,,
Romania ,Romania ,3650.0,4452.0,1499.0,215.0,67.0,24.0,16.0,3.0,0.0,,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
Russia,Russia,,,,,,,,,,4386.0,3723.0,4454.0,2100.0,1394.0,1446.0,5982.0,6003.0,1773.0,426.0,495.0,326.0,165.0,197.0,125.0
Serbia and Montenegro  2,Serbia and Montenegro  2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14280.0,524.0,153.0,1860.0,1839.0,151.0,,,,,,,,,
Slovakia,Slovakia,,,,,,,,,,,,,,,0.0,,,,,,,,,
Slovenia,Slovenia,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,
Soviet Union  3,Soviet Union  3,50716.0,38661.0,61298.0,48627.0,43470.0,35716.0,29536.0,27072.0,23349.0,194.0,282.0,133.0,,0.0,0.0,,,,,,,,,
Tajikistan ,Tajikistan ,,,,,,,,,,9.0,24.0,9.0,4.0,13.0,,,,,,,,,,
Turkmenistan,Turkmenistan,,,,,,,,,,16.0,,7.0,,4.0,7.0,,,,,,,,,
Ukraine,Ukraine,,,,,,,,,,8649.0,7334.0,7172.0,5219.0,5065.0,3482.0,2889.0,2483.0,1605.0,1022.0,601.0,449.0,428.0,372.0,227.0
Uzbekistan,Uzbekistan,,,,,,,,,,818.0,693.0,681.0,394.0,166.0,426.0,271.0,527.0,190.0,134.0,152.0,185.0,96.0,140.0,51.0
Asia,Asia,43360.0,42279.0,41045.0,45302.0,46457.0,40420.0,22131.0,11771.0,13669.0,14041.0,13622.0,15356.0,6949.0,5864.0,10896.0,15769.0,10086.0,23564.0,44819.0,58309.0,52695.0,44583.0,44416.0,48840.0
Afghanistan ,Afghanistan ,1594.0,1480.0,1452.0,1233.0,21.0,,0.0,0.0,,365.0,1709.0,2930.0,1677.0,1453.0,959.0,,,,,,,,,
Bangladesh,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,
Bahrain,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,,,,,,,,,
Burma,Burma,3.0,14.0,,94.0,75.0,36.0,11.0,182.0,186.0,295.0,637.0,543.0,128.0,203.0,1056.0,1447.0,1612.0,13896.0,18139.0,18202.0,16693.0,16972.0,14160.0,16299.0
Cambodia ,Cambodia ,2166.0,38.0,141.0,,6.0,,0.0,0.0,0.0,0.0,0.0,23.0,4.0,7.0,3.0,,,,,,,,,
"China, People's Republic","China, People's Republic",52.0,,,0.0,0.0,0.0,,0.0,0.0,,,12.0,7.0,9.0,3.0,13.0,21.0,27.0,50.0,54.0,72.0,28.0,54.0,101.0
India,India,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Indonesia,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,14.0,5.0,18.0,17.0,5.0,6.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0
Iran ,Iran ,3329.0,2692.0,1949.0,1161.0,851.0,978.0,1256.0,1305.0,1699.0,1750.0,5145.0,6590.0,1525.0,2471.0,1787.0,,,,,,,,,
Iraq ,Iraq ,67.0,842.0,3442.0,4605.0,4984.0,3482.0,2528.0,2679.0,1407.0,1955.0,3158.0,2473.0,465.0,298.0,66.0,,,,,,,,,
Israel,Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,
Jordan,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,3.0,13.0
Kuwait,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,14.0,0.0,0.0,24.0,,7.0,40.0,5.0,3.0,12.0
Laos ,Laos ,8771.0,9250.0,7315.0,6967.0,6272.0,3675.0,2201.0,939.0,0.0,19.0,64.0,22.0,18.0,13.0,6005.0,,,,,,,,,
Lebanon,Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,,,,,,,,,,
Malaysia,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,
Maldives,Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,
Nepal,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,4.0,7.0,0.0,10.0,47.0,34.0
Pakistan,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,18.0,11.0,9.0,20.0,30.0,104.0,67.0,59.0,54.0,274.0,158.0
Philippines,Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,
Sri Lanka,Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,5.0,7.0,,0.0,6.0,,,33.0,118.0,69.0,55.0,92.0
Syria,Syria,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,18.0,8.0,4.0,3.0,0.0,7.0,27.0,17.0,24.0,25.0,25.0,29.0,31.0,36.0
Thailand,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,0.0,,,,,,,,,
Vietnam,Vietnam,27378.0,27958.0,26690.0,31219.0,34248.0,32244.0,16130.0,6660.0,10288.0,9622.0,2841.0,2730.0,3081.0,1356.0,974.0,2009.0,3039.0,1500.0,1112.0,1486.0,873.0,79.0,41.0,69.0
Yemen,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,8.0,,11.0,6.0,0.0,47.0,15.0,0.0,0.0,12.0
Africa ,Africa ,3494.0,4768.0,5492.0,6969.0,5861.0,4779.0,7502.0,6069.0,6665.0,13048.0,17624.0,19070.0,2545.0,10721.0,29129.0,,,,,,,,,
Algeria,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,57.0,31.0,0.0,4.0,,,,,,,,,,
Angola,Angola,59.0,21.0,4.0,0.0,6.0,,,0.0,0.0,0.0,,34.0,16.0,21.0,20.0,21.0,13.0,4.0,0.0,8.0,0.0,,0.0,6.0
Benin,Benin,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,
Burkina Faso,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,
Burundi,Burundi,,0.0,0.0,3.0,0.0,8.0,8.0,33.0,24.0,223.0,165.0,109.0,62.0,16.0,276.0,214.0,466.0,4545.0,2889.0,762.0,530.0,110.0,186.0,193.0
Cameroon,Cameroon,3.0,0.0,0.0,0.0,0.0,,,19.0,15.0,9.0,7.0,5.0,6.0,6.0,,6.0,29.0,5.0,,4.0,6.0,0.0,7.0,0.0
Central African Republic,Central African Republic,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,24.0,0.0,23.0,15.0,56.0,59.0,45.0,182.0,136.0,318.0
Chad,Chad,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,41.0,22.0,,,,,4.0,0.0,4.0,10.0,23.0,6.0,28.0,25.0,12.0,32.0
"Congo, Democratic Republic","Congo, Democratic Republic",79.0,73.0,76.0,199.0,92.0,85.0,38.0,45.0,52.0,42.0,1354.0,260.0,105.0,251.0,569.0,424.0,405.0,848.0,727.0,1135.0,3174.0,977.0,1863.0,2563.0
"Congo, Republic","Congo, Republic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,6.0,5.0,41.0,73.0,43.0,66.0,206.0,197.0,293.0,154.0,27.0,102.0,161.0
Cote d' Ivoire,Cote d' Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,,3.0,4.0,0.0,,,,,,,,,
Djibouti,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,8.0,0.0,12.0,,,6.0,,,,,,,,,
Egypt,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,3.0,0.0,,3.0,5.0,7.0,15.0,6.0,13.0,3.0
Equatorial Guinea,Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,25.0,11.0,14.0,0.0,9.0,9.0,0.0,0.0,0.0
Eritrea,Eritrea,,,,0.0,6.0,0.0,14.0,7.0,9.0,32.0,94.0,109.0,13.0,23.0,128.0,327.0,538.0,963.0,251.0,1571.0,2570.0,2032.0,1346.0,1824.0
Ethiopia,Ethiopia,3228.0,3948.0,2972.0,2765.0,328.0,239.0,194.0,197.0,152.0,1873.0,1347.0,1429.0,329.0,1704.0,2710.0,1663.0,1271.0,1028.0,299.0,321.0,668.0,560.0,620.0,765.0
"Gambia, The","Gambia, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,50.0,13.0,13.0,5.0,0.0,12.0,3.0,,,,,,,,,
Ghana ,Ghana ,11.0,0.0,0.0,,5.0,9.0,,,0.0,5.0,3.0,,4.0,13.0,,,,,,,,,,
Guinea,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,4.0,5.0,,0.0,,,,,,,,,
Kenya,Kenya,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,13.0,,11.0,13.0,24.0,3.0,0.0,,5.0,0.0,0.0,,0.0,,23.0,5.0
Lesotho,Lesotho,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Liberia ,Liberia ,3.0,,637.0,961.0,610.0,52.0,46.0,231.0,1494.0,2495.0,2620.0,3429.0,559.0,2957.0,7140.0,,,,,,,,,
Libya,Libya,,344.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,
Madagascar,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Malawi,Malawi,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Mauritania,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,202.0,6.0,0.0,0.0,3.0,88.0,62.0,26.0,16.0,74.0,3.0,0.0,0.0
Mozambique,Mozambique,3.0,12.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Namibia,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,,,,,,,,,
Nigeria,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0,312.0,625.0,50.0,85.0,27.0,57.0,34.0,11.0,15.0,20.0,76.0,3.0,,,,
Rwanda,Rwanda,0.0,,,7.0,31.0,88.0,118.0,100.0,86.0,153.0,345.0,94.0,47.0,47.0,176.0,183.0,112.0,202.0,108.0,111.0,230.0,74.0,157.0,139.0
Senegal,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,
Sierra Leone,Sierra Leone,0.0,0.0,0.0,0.0,0.0,48.0,13.0,57.0,176.0,675.0,1128.0,2004.0,176.0,1378.0,1084.0,829.0,439.0,166.0,99.0,51.0,54.0,28.0,,4.0
Somalia ,Somalia ,25.0,192.0,1570.0,2753.0,3555.0,2506.0,6436.0,4974.0,2951.0,4320.0,6026.0,4951.0,238.0,1993.0,13331.0,,,,,,,,,
South Africa ,South Africa ,34.0,19.0,15.0,8.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Sudan ,Sudan ,7.0,24.0,113.0,244.0,1220.0,1705.0,575.0,277.0,1252.0,2393.0,3833.0,5959.0,895.0,2140.0,3500.0,,,,,,,,,
Tanzania,Tanzania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,
Togo,Togo,0.0,0.0,0.0,0.0,0.0,25.0,,30.0,15.0,93.0,511.0,280.0,16.0,39.0,35.0,72.0,18.0,40.0,204.0,14.0,9.0,5.0,26.0,18.0
Tunisia,Tunisia,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,,10.0,0.0,0.0,0.0,,,,,,,,,
Uganda ,Uganda ,27.0,125.0,93.0,24.0,,10.0,10.0,9.0,,12.0,18.0,12.0,,,8.0,,,,,,,,,
Zambia,Zambia,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Zimbabwe,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,13.0,,3.0,10.0,7.0,8.0,3.0,12.0
North America,North America,5307.0,4026.0,3777.0,4374.0,6437.0,7618.0,3539.0,2986.0,1587.0,2109.0,3233.0,2968.0,1929.0,303.0,2977.0,6368.0,3145.0,2922.0,4177.0,4800.0,4856.0,2930.0,1948.0,4206.0
Caribbean,Caribbean,4753.0,3933.0,3774.0,4372.0,6436.0,7618.0,3537.0,2986.0,1587.0,2109.0,3233.0,2968.0,1929.0,303.0,2976.0,,,,,,,,,
Cuba ,Cuba ,4753.0,3933.0,3720.0,3065.0,2670.0,6133.0,3498.0,2911.0,1587.0,2018.0,3184.0,2944.0,1925.0,303.0,2959.0,,,,,,,,,
Haiti,Haiti,0.0,0.0,54.0,1307.0,3766.0,1485.0,39.0,75.0,0.0,91.0,49.0,24.0,4.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Central America,Central America,554.0,93.0,3.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
   Costa Rica,   Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
El Salvador ,El Salvador ,22.0,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Nicaragua ,Nicaragua ,532.0,87.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
South America,South America,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,8.0,149.0,579.0,331.0,119.0,54.0,100.0,57.0,126.0,46.0,130.0,233.0
Argentina,Argentina,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,
Colombia,Colombia,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,149.0,577.0,323.0,115.0,54.0,94.0,57.0,123.0,46.0,126.0,230.0
Venezuela,Venezuela,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Other,Other,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,
Total,Total,,,,,,,,,,,,,,,,53738.0,41094.0,48218.0,60107.0,74602.0,73293.0,56384.0,58179.0,69909.0
Africa,Africa,,,,,,,,,,,,,,,,20746.0,18129.0,17486.0,8943.0,9678.0,13325.0,7693.0,10629.0,15984.0
Oceania,Oceania,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,9.0,65.0,1053.0,136.0,148.0,164.0
Afghanistan,Afghanistan,,,,,,,,,,,,,,,,902.0,651.0,441.0,576.0,349.0,515.0,428.0,481.0,661.0
Bhutan,Bhutan,,,,,,,,,,,,,,,,0.0,3.0,0.0,5320.0,13452.0,12363.0,14999.0,15070.0,9134.0
Cambodia,Cambodia,,,,,,,,,,,,,,,,9.0,9.0,15.0,8.0,15.0,9.0,5.0,6.0,30.0
Cote d'Ivoire,Cote d'Ivoire,,,,,,,,,,,,,,,,5.0,23.0,11.0,30.0,9.0,4.0,7.0,33.0,20.0
Cuba,Cuba,,,,,,,,,,,,,,,,6360.0,3143.0,2922.0,4177.0,4800.0,4818.0,2920.0,1948.0,4205.0
Gambia,Gambia,,,,,,,,,,,,,,,,0.0,6.0,13.0,6.0,10.0,10.0,7.0,,11.0
Honduras,Honduras,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0
Iran,Iran,,,,,,,,,,,,,,,,1856.0,2792.0,5482.0,5270.0,5381.0,3543.0,2032.0,1758.0,2579.0
Iraq,Iraq,,,,,,,,,,,,,,,,198.0,202.0,1608.0,13822.0,18838.0,18016.0,9388.0,12163.0,19487.0
"Korea, North","Korea, North",,,,,,,,,,,,,,,,0.0,9.0,22.0,37.0,25.0,8.0,23.0,22.0,17.0
Laos,Laos,,,,,,,,,,,,,,,,8517.0,830.0,117.0,59.0,14.0,36.0,211.0,21.0,0.0
Liberia,Liberia,,,,,,,,,,,,,,,,4289.0,2346.0,1606.0,992.0,385.0,244.0,121.0,69.0,94.0
Serbia and Montenegro,Serbia and Montenegro,,,,,,,,,,,,,,,,38.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Somalia,Somalia,,,,,,,,,,,,,,,,10405.0,10357.0,6969.0,2523.0,4189.0,4884.0,3161.0,4911.0,7608.0
South Sudan,South Sudan,,,,,,,,,,,,,,,,,,,,,,0.0,,17.0
Sudan,Sudan,,,,,,,,,,,,,,,,2205.0,1848.0,705.0,375.0,683.0,558.0,334.0,1077.0,2160.0
Uganda,Uganda,,,,,,,,,,,,,,,,10.0,20.0,38.0,42.0,8.0,30.0,10.0,18.0,15.0
All other countries,All other countries,,,,,,,,,,,,,,,,29.0,28.0,18.0,28.0,26.0,45.0,36.0,31.0,37.0
Unknown 1,Unknown 1,,,,,,,,,,,,,,,,0.0,0.0,0.0,9.0,65.0,1053.0,136.0,148.0,164.0
